,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
Channel1,0.0,0.09074741007514117,0.35485305233204395,0.36427904495131386,0.35876572851362765,0.3359121426348317,0.3601885198523854,0.32942065715174956
Channel2,0.09074741007514117,0.0,0.3639678093459606,0.3835756524832155,0.3625894802365391,0.34587168200613577,0.3633898003645903,0.3359121426348317
Channel3,0.35485305233204395,0.3639678093459606,0.0,0.17593704148325998,0.3389355742296919,0.27081943888666576,0.3439153439153439,0.28166822284469345
Channel4,0.36427904495131386,0.3835756524832155,0.17593704148325998,0.0,0.3547196656440354,0.2965630696723134,0.35818771953225736,0.3010982170646036
Channel5,0.35876572851362765,0.3625894802365391,0.3389355742296919,0.3547196656440354,0.0,0.41172024365301674,0.40905250989284603,0.49424214130096483
Channel6,0.3359121426348317,0.34587168200613577,0.27081943888666576,0.2965630696723134,0.41172024365301674,0.0,0.4072740207193989,0.30758970254768575
Channel7,0.3601885198523854,0.3633898003645903,0.3439153439153439,0.35818771953225736,0.40905250989284603,0.4072740207193989,0.0,0.45431505935707617
Channel8,0.32942065715174956,0.3359121426348317,0.28166822284469345,0.3010982170646036,0.49424214130096483,0.30758970254768575,0.45431505935707617,0.0
