Time,Avg_Sin_Phases
0,0.037946499824791056
1,0.038891190336244066
2,0.03985125102209032
3,0.04082670703706619
4,0.04181756829612509
5,0.042823835067607806
6,0.04384549578346828
7,0.04488252745803549
8,0.045934894835373316
9,0.04700255077763281
10,0.048085435651584504
11,0.04918347776227637
12,0.050296592510595185
13,0.051424683021846516
14,0.05256764008814903
15,0.05372534204722732
16,0.054897654969959
17,0.05608443343138386
18,0.05728552025483785
19,0.05850074692917885
20,0.0597299343483874
21,0.06097289336019459
22,0.0622294252097534
23,0.0634993219742702
24,0.06478236744540677
25,0.06607833795436786
26,0.06738700316920886
27,0.06870812666383808
28,0.07004146727556916
29,0.07138677976261865
30,0.07274381569572645
31,0.07411232468503862
32,0.07549205522176149
33,0.07688275564510791
34,0.07828417537227926
35,0.07969606576951074
36,0.08111818102702244
37,0.08255027920045291
38,0.08399212297600667
39,0.0854434808426012
40,0.08690412770514647
41,0.08837384552507765
42,0.0898524239602998
43,0.09133966098672278
44,0.09283536335181089
45,0.09433934668818675
46,0.09585143581491715
47,0.09737146473155425
48,0.09889927645516834
49,0.10043472265881845
50,0.10197766339369693
51,0.10352796615848399
52,0.1050855052073004
53,0.10665016053266885
54,0.10822181647404883
55,0.10980036029313404
56,0.11138568069673468
57,0.11297766607996684
58,0.11457620226834817
59,0.11618117055248559
60,0.117792445735922
61,0.11940989360357923
62,0.12103336826286956
63,0.12266271020887021
64,0.12429774375708669
65,0.12593827451945563
66,0.12758408733887885
67,0.12923494424492002
68,0.13089058246362725
69,0.13255071257634302
70,0.13421501705206063
71,0.1358831490580609
72,0.1375547319250668
73,0.13922935821157334
74,0.1409065895478374
75,0.1425859569052948
76,0.14426696102195574
77,0.14594907300449816
78,0.14763173541300728
79,0.14931436373650117
80,0.15099634793066632
81,0.15267705402025647
82,0.15435582605064377
83,0.1560319880730487
84,0.15770484619157776
85,0.15937369091912698
86,0.16103779919868927
87,0.16269643643627957
88,0.16434885886135686
89,0.16599431545893625
90,0.16763205002611178
91,0.1692613032224753
92,0.1708813143908895
93,0.1724913234110364
94,0.17409057254607438
95,0.17567830807599236
96,0.17725378196230102
97,0.17881625349225444
98,0.18036499083412555
99,0.1818992723178368
100,0.18341838800480034
101,0.1849216411019152
102,0.18640834891512967
103,0.1878778443949974
104,0.18932947728522181
105,0.19076261488930918
106,0.19217664353625472
107,0.1935709695996153
108,0.1949450203913794
109,0.19629824533055962
110,0.19763011698285277
111,0.1989401321998107
112,0.20022781332215583
113,0.20149270935645483
114,0.20273439722935532
115,0.20395248331033713
116,0.2051466045503909
117,0.20631643010103679
118,0.20746166282293385
119,0.2085820405619751
120,0.20967733752533074
121,0.21074736581186163
122,0.21179197668614885
123,0.21281106141903292
124,0.21380455246349506
125,0.21477242414036643
126,0.21571469307801658
127,0.2166314186958719
128,0.21752270316629688
129,0.21838869109845566
130,0.21922956928301113
131,0.2200455659265322
132,0.22083694973060028
133,0.22160402885251268
134,0.2223471496356967
135,0.22306669511379038
136,0.2237630835498098
137,0.22443676687205186
138,0.22508822890011562
139,0.22571798369468749
140,0.22632657389219038
141,0.22691456897836235
142,0.22748256374928127
143,0.2280311765196743
144,0.22856104763276877
145,0.22907283816986995
146,0.2295672283857184
147,0.23004491609998548
148,0.23050661563631838
149,0.2309530564833719
150,0.23138498187811893
151,0.23180314750874026
152,0.232208320354271
153,0.23260127724781493
154,0.23298280358671147
155,0.233353691880475
156,0.23371474034971476
157,0.23406675140339422
158,0.23441052999989984
159,0.23474688213193287
160,0.23507661296483
161,0.23540052499358696
162,0.23571941619316067
163,0.23603407785920227
164,0.23634529283091216
165,0.23665383311289356
166,0.23696045768930193
167,0.23726591059482502
168,0.23757091830356902
169,0.23787618772606267
170,0.23818240404079066
171,0.23849022821973018
172,0.23880029527887076
173,0.23911321195889884
174,0.2394295546387414
175,0.23974986709809118
176,0.24007465838325232
177,0.24040440075597083
178,0.24073952692288078
179,0.24108042721637885
180,0.24142744698972624
181,0.241780883028298
182,0.24214097976947588
183,0.24250792549102623
184,0.24288184795633097
185,0.24326280973533013
186,0.24365080360612393
187,0.2440457479890859
188,0.24444748284071602
189,0.24485576541256848
190,0.24527026703685623
191,0.24569057056637617
192,0.24611616889414875
193,0.24654646477664496
194,0.24698077148989012
195,0.24741831476278725
196,0.24785823666274598
197,0.2482996002197026
198,0.24874139523513797
199,0.24918254608161305
200,0.2496219199216755
201,0.25005833593071036
202,0.2504905760489204
203,0.2509173959749009
204,0.2513375370224075
205,0.2517497389054701
206,0.25215275232928697
207,0.25254535240489473
208,0.25292635215068315
209,0.2532946154919841
210,0.25364907067315134
211,0.2539887229004733
212,0.2543126657866824
213,0.25462009237329947
214,0.2549103047815917
215,0.2551827216124461
216,0.25543688390899166
217,0.25567245947783046
218,0.2558892446544206
219,0.25608716344470334
220,0.2562662653932034
221,0.25642672081279616
222,0.25656881437859014
223,0.2566929374040655
224,0.2567995783780082
225,0.2568893129693153
226,0.2569627935418536
227,0.25702073805186654
228,0.25706391921498095
229,0.25709315384927456
230,0.25710929251840964
231,0.2571132098151666
232,0.2571057952366237
233,0.25708794425314274
234,0.2570605501883058
235,0.25702449655881365
236,0.2569806497848079
237,0.25692985207941543
238,0.2568729149083106
239,0.2568106124180882
240,0.25674367544803783
241,0.256672786026959
242,0.2565985720347587
243,0.25652160265819834
244,0.2564423843999515
245,0.2563613580396162
246,0.2562788965040476
247,0.2561953038149472
248,0.2561108148164323
249,0.25602559657491547
250,0.2559397502227636
251,0.2558533141001678
252,0.25576626774621974
